Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
19136  3528  52.089
15003  20793  525.62
08034  3685  68.617
08520  4326  85.607
08638  3676  63.043
07069  6181  101.042
15084  19093  500.652
11510  9204  198.209
08852  4592  85.118
08054  3791  79.428
08035  3612  68.016
27807  25095  658.79
08863  5305  120.896
18940  3076  40.696
18969  1303  16.893
19025  1996  23.27
07039  7170  128.137
07417  7592  152.22
18067  3884  75.414
07878  6790  128.939
19504  3224  50.923
19085  1802  35.598
33331  68267  1928.853
98801  150491  4289.999
07932  6716  118.717
08691  4088  78.238
08872  5610  117.822
79780  107004  3126.841
18038  4763  85.688
10024  7566  168.244
08879  5781  129.228
08012  3712  77.554
07866  7191  137.055
07029  6687  155.457
08830  5691  129.08
18966  2973  36.38
88021  118530  3357.97
85342  131928  3849.944
19119  2282  26.402
22936  18527  440.089
18942  2755  41.388
07009  7476  142.661
22314  11445  269.341
07737  7040  152.168
19115  2800  29.372
08081  4247  91.166
19540  4394  78.637
60202  45003  1240.677
05465  27196  612.549
19087  2344  24.756
08052  3661  69.034
08225  6439  146.765
60611  43703  1218.05
19063  2775  55.717
10583  8871  200.145
07457  7302  142.032
10033  7457  175.275
20854  11122  268.646
07724  6101  137.155
07733  6562  127.742
07735  6283  140.721
28211  33825  904.461
07046  6809  127.309
01104  15976  391.671
10280  7517  165.969
08530  3351  44.22
07093  7150  162.366
07748  6647  147.328
07722  5926  116.416
07480  8163  158.005
10312  5970  134.015
07018  6616  151.595
07926  6735  119.78
18963  2612  35.763
08722  6642  150.175
07481  7765  155.837
07405  7588  147.381
10924  9658  211.653
18077  3740  59.686
02908  18480  451.387
08751  7024  137.103
75230  83278  2397.961
80129  97565  2781.874
92106  152062  4352.026
44026  24704  667.836
85340  131697  3811.151
92708  152383  4379.433
07663  7458  176.687
18930  3393  51.191
10597  10775  247.697
46060  39472  1065.974
10019  7400  164.516
19103  2647  52.054
07047  7087  161.161
19001  1873  19.932
07304  6753  156.246
07205  6575  146.218
07980  6508  109.309
08525  3978  60.128
18972  3203  50.662
10028  8266  171.175
98117  157152  4475.864
08088  5446  104.907
18018  3572  70.858
07305  6781  155.28
88121  102204  2891.412
07444  7291  142.073
33624  61933  1698.109
07856  7257  126.341
19125  2947  57.477
15927  16298  414.128
08505  3377  59.005
10708  8231  191.092
07739  6716  145.311
04072  25413  646.504
14221  22062  596.487
19460  2199  28.1
08061  3749  80.456
19090  1721  18.058
14534  18583  495.034
07203  6238  138.961
08880  5592  93.409
08690  4046  72.635
07307  6941  160.911
18088  4092  78.315
98052  156440  4464.495
18092  2726  44.925
07843  7720  126.331
08518  3256  54.779
08904  5265  115.33
07079  7209  129.244
14608  19123  509.251
08010  4095  60.467
07607  7391  175.48
07031  7113  159.265
94005  158966  4633.229
07961  6299  113.936
10014  7364  162.888
24592  25113  614.999
29926  45157  1182.182
07627  8289  179.705
19064  2586  50.962
07801  7205  137.647
20148  12203  300.164
15090  20203  527.839
08048  4345  77.72
85024  131059  3771.816
10010  7812  166.871
07981  6505  119.712
30309  49017  1275.539
33327  68487  1929.753
88263  108928  3178.903
07440  7534  139.206
07102  6457  147.831
18076  2004  26.277
07026  7457  170.667
39503  67706  1935.213
27712  25704  678.012
34105  71715  1914.512
27021  30321  839.038
24477  19019  520.853
07650  7119  167.226
21050  7498  176.012
19046  2324  28.035
85343  133405  3844.238
18353  4788  108.979
08318  5227  108.846
70802  72088  2091.858
07008  5850  132.864
07112  6368  145.786
10913  8649  199.712
12508  10548  224.03
10314  6267  143.62
98072  156672  4474.957
41042  35023  948.355
07423  8328  164.027
11354  8316  184.686
07032  6157  149.797
18080  3758  70.465
18466  6250  153.859
07310  6915  158.222
70596  75197  2182.376
18954  2928  37.503
14701  21212  526.335
07933  6531  112.406
08094  4794  98.072
19525  2417  33.102
21801  11439  260.394
07603  7257  169.545
08514  4705  89.033
19437  720  6.166
07852  7141  123.641
28590  27000  707.559
19127  2150  41.145
17025  7255  181.898
07041  7089  127.893
76504  90281  2600.655
18923  2078  28.836
19512  3370  43.514
07757  6466  141.702
11215  7340  162.304
28269  32878  885.982
30004  49583  1268.693
Time: 10-28-2014 23:00:00
08822  3909  60.11
19095  1691  23.034
08889  4707  74.263
18947  2566  36.902
08825  3563  53.151
07936  6604  123.837
08886  4839  94.691
07901  6635  120.5
07073  7089  162.647
08046  4114  60.943
08865  4696  91.674
07712  5839  132.279
08820  6022  131.833
08876  4674  77.562
08807  5089  82.99
08902  5193  95.836
18976  1764  19.24
07030  7122  159.705
07652  7953  157.931
18015  3012  54.608
08833  5072  78.927
24401  18446  506.992
07066  6138  135.683
19446  330  2.721
08853  4320  70.726
08873  5698  99.879
18951  2226  39.835
18944  2119  26.277
08502  4941  88.288
08831  5157  100.636
10306  6989  141.11
18013  5628  109.655
18902  2498  30.885
07090  6417  138.643
08551  3467  52.362
07014  7031  163.963
08844  5832  74.538
07065  6224  134.012
07830  6080  92.915
08827  4901  102.836
07920  5766  99.864
02760  19315  474.12
07730  6353  141.338
07746  5884  116.106
08840  5732  123.227
19438  1117  13.417
07022  7382  164.695
07080  5909  128.916
07092  6783  108.501
07005  6885  129.299
07662  7365  174.935
08812  5520  92.99
07747  6334  129.972
18045  3974  79.765
07853  6479  101.374
08801  4524  73.247
07832  7294  136.269
18210  5190  106.542
07023  6463  103.72
07677  8478  168.915
48108  33325  926.453
07016  6171  139.848
07825  6757  136.187
08837  5516  122.376
08060  3971  73.24
18040  4266  91.616
07928  6637  119.575
19382  3801  52.77
07083  6540  144.348
08724  5722  124.077
07010  7520  167.365
08854  5665  96.668
19020  2626  42.017
07054  6619  122.388
07930  6246  106.384
18036  2211  42.079
07202  5944  136.652
07974  6414  116.794
18034  2755  48.101
07027  6500  137.893
08826  5797  88.763
07821  7063  150.254
07042  7010  158.366
07823  5539  110.241
10977  8583  177.276
19422  721  8.249
07960  6075  111.178
07860  8037  154.653
07036  6121  139.803
08802  4679  95.579
19075  1725  19.18
18020  3940  76.583
07306  6726  156.45
19355  2568  33.482
07826  9292  192.677
11374  8109  179.939
78852  106535  3079.404
19426  1400  17.644
08882  5533  115.54
10310  6626  146.227
19462  1323  14.87
07670  7930  176.558
07931  5634  95.77
07882  5376  105.39
07945  6546  112.712
07076  6771  107.019
98346  160260  4502.252
08512  4847  85.747
88546  117840  3405.604
07701  6653  144.49
07676  8129  164.893
08850  5428  99.283
07067  5975  131.176
07922  6270  114.855
07940  6544  117.216
08846  5753  91.743
18042  4311  79.213
18925  2349  29.501
08559  3154  44.761
18960  1760  23.477
18901  1828  21.367
18052  3114  63.963
18920  3207  47.724
08867  4183  60.635
07078  6900  129.587
07803  7164  120.232
08755  5811  119.173
07002  6583  152.19
18929  2215  29.137
10022  7862  168.165
17111  6928  174.041
08857  5906  122.761
07456  7827  154.812
38117  57347  1649.363
19403  1017  13.249
10001  7193  164.565
07840  6867  127.822
08809  5123  106.615
07063  6076  98.048
18343  5674  115.384
07753  5901  128.951
07924  6068  101.899
07463  8107  159.731
10993  9545  195.614
18103  2905  62.535
12060  14884  361.756
02043  21422  533.407
07438  8012  154.336
19116  2892  43.56
19002  1144  12.927
08501  4419  81.276
18054  1664  22.721
07436  7206  147.83
18938  2404  34.181
08050  7115  140.993
88013  116761  3311.349
08848  3762  58.189
08540  4326  80.253
18914  1299  16.107
07401  8023  160.028
07033  6269  141.58
19130  2585  51.656
33067  67785  1893.098
08804  4757  91.674
07950  6858  123.473
08887  4188  66.182
07760  7191  151.201
07045  6669  129.713
08510  4668  94.484
08805  5471  88.922
07006  7139  132.9
07081  6944  111.078
18017  3231  70.797
07095  5567  125.262
07110  7219  165.602
08550  4152  74.649
19468  2525  30.839
08721  6453  151.686
07720  5946  128.506
07302  6768  156.581
07675  8633  169.742
07728  5277  105.001
07082  6791  131.917
08536  4347  80.206
18074  2031  27.148
18106  2784  55.884
08085  3610  74.158
07863  5913  116.08
08836  5787  92.773
07432  7882  159.048
03825  24563  593.324
08108  3418  64.161
18039  3580  58.097
88221  108644  3084.241
08884  5363  105.609
07068  6960  134.714
19454  833  8.468
07834  6720  128.51
27809  23430  615.611
08823  4989  90.183
18064  4029  86.323
18928  2158  29.897
19067  2866  52.526
07921  5511  84.591
19128  2164  24.127
07726  5030  101.908
10011  7556  166.143
08560  3611  64.379
07208  6459  143.607
07470  7492  144.71
08535  4764  94.497
88231  104751  3031.337
19473  1524  21.302
10954  8444  176.701
07876  6816  117.51
08075  4291  63.997
34232  64775  1787.756
08835  5483  85.635
08829  5032  79.785
07430  7975  156.704
07869  7062  131.375
07450  8393  161.984
08558  4300  68.032
30331  48931  1302.524
18051  3027  61.706
07105  6448  148.033
07666  7288  169.82
08534  3603  67.784
10950  9254  196.684
07946  6268  107.986
18055  3438  56.994
07044  7374  140.277
08753  6565  128.471
07070  6989  162.384
88201  105941  2984.458
07028  6934  157.549
18974  2095  27.43
07718  6872  149.678
07738  6479  124.074
66062  66447  1854.617
08859  5949  130.625
08810  5044  100.535
19464  2807  41.729
19465  3046  49.272
08858  5343  88.644
07828  7187  134.947
19106  3028  55.833
08742  6106  127.841
08542  4217  77.936
19135  3142  36.425
10016  7495  165.941
08016  3665  58.852
07731  5312  111.947
07751  5919  114.326
18062  3456  66.959
19444  1691  19.239
03253  25817  655.087
19428  1814  33.008
07422  9165  174.041
07871  7846  154.817
18031  3030  61.304
07001  6132  131.665
07836  6372  112.879
07040  6859  127.324
18964  1028  12.862
90293  152642  4397.805
07052  7035  138.129
13905  10348  264.16
08861  5655  125.179
18334  5799  137.001
18322  5019  107.899
07927  6440  115.623
78342  101533  2918.241
12010  16325  398.413
07060  6184  99.833
18337  8747  182.933
18301  5912  130.837
18977  3162  59.451
07003  6835  158.612
18072  4452  98.573
08816  5457  116.319
08901  5210  113.242
18104  2786  57.355
08817  5519  116.305
02482  19581  483.357
08824  4721  88.048
08648  3483  67.201
08619  3591  75.132
07934  5798  98.25
19118  1830  21.028
07206  6275  142.137
08869  4751  78.547
07086  6838  160.87
10075  8159  169.654
15102  19915  498.484
95051  160292  4675.884
07204  6296  141.237
19038  1572  19.981
08730  5933  127.651
08003  4002  73.235
19401  1181  12.527
18932  1184  11.57
27587  24939  650.745
19440  1089  11.718
46032  39072  1058.335
94301  159911  4668.752
14770  18839  451.89
07062  6290  102.346
08062  4190  84.792
08527  5150  105.765
19031  1225  15.996
18360  4809  111.925
15044  19109  504.515
01070  18826  424.358
19136  3327  52.089
15003  20762  525.62
08034  3620  68.617
08520  4458  85.607
08638  3593  63.043
07069  6168  101.042
15084  19035  500.652
11510  9207  198.209
08852  4481  85.118
08054  4000  79.428
08035  3547  68.016
27807  25084  658.79
08863  5423  120.896
18940  3017  40.696
18969  1289  16.893
19025  1927  23.27
07039  7100  128.137
07417  7456  152.22
18067  3770  75.414
07878  6707  128.939
19504  3109  50.923
19085  1746  35.598
33331  68839  1928.853
98801  150176  4289.999
07932  6632  118.717
08691  4259  78.238
08872  5727  117.822
79780  106992  3126.841
18038  4636  85.688
10024  7394  168.244
08879  5888  129.228
08012  3678  77.554
07866  7064  137.055
07029  6718  155.457
08830  5794  129.08
18966  2892  36.38
88021  118600  3357.97
85342  132257  3849.944
19119  2225  26.402
22936  18532  440.089
18942  2692  41.388
07009  7331  142.661
22314  11455  269.341
07737  7027  152.168
19115  2717  29.372
08081  4214  91.166
19540  4419  78.637
60202  45149  1240.677
05465  27172  612.549
19087  2286  24.756
08052  3572  69.034
08225  6467  146.765
60611  43750  1218.05
19063  2740  55.717
10583  8876  200.145
07457  7195  142.032
10033  7444  175.275
20854  11144  268.646
07724  6142  137.155
07733  6563  127.742
07735  6347  140.721
28211  34574  904.461
07046  6728  127.309
01104  15975  391.671
10280  7395  165.969
08530  3276  44.22
07093  7057  162.366
07748  6668  147.328
07722  5987  116.416
07480  8123  158.005
10312  6043  134.015
