Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
19136  4771  84.083
15003  22374  557.998
08034  5185  106.344
08520  4020  71.175
08638  3287  49.353
07069  1819  34.368
15084  20720  533.03
11510  6893  122.068
08852  3410  46.926
08054  4956  97.876
08035  5651  114.285
27807  28695  719.822
08863  2324  44.361
18940  3418  52.346
18969  4877  101.733
19025  4473  74.196
07039  2893  57.986
07417  3395  79.939
18067  3972  80.226
07878  2643  56.658
19504  4781  97.015
19085  5448  96.63
33331  72720  1989.885
98801  151674  4316.526
07932  2569  46.436
08691  4395  68.227
08872  2970  55.149
79780  108085  3157.734
18038  4648  89.304
10024  4243  84.422
08879  2781  52.748
08012  6009  128.991
07866  3016  64.774
07029  2952  63.246
08830  2719  48.787
18966  3885  59.545
88021  120140  3390.348
85342  133564  3882.322
19119  5792  90.005
22936  22179  501.121
18942  3183  48.974
07009  3295  70.38
22314  15111  330.373
07737  4058  75.688
19115  4732  80.783
08081  6620  129.149
19540  6726  151.768
60202  46133  1267.204
05465  23110  540.268
19087  5896  102.686
08052  5177  104.792
08225  8448  199.996
60611  44823  1244.577
19063  6416  116.749
10583  5570  116.307
07457  3137  69.751
10033  4098  91.437
20854  14794  329.678
07724  3809  82.449
07733  3486  72.838
07735  3299  64.241
28211  35113  975.638
07046  2662  55.028
01104  12660  307.833
10280  4117  77.32
08530  2273  36.35
07093  3833  78.544
07748  3651  70.848
07722  4121  82.248
07480  4036  85.724
10312  2974  57.535
07018  2716  58.051
07926  2590  47.499
18963  2399  40.309
08722  5565  124.604
07481  3590  83.556
07405  3408  75.1
10924  5565  139.372
18077  3098  50.657
02908  15155  367.549
08751  6061  132.275
75230  84408  2428.854
80129  99236  2814.252
92106  153706  4384.404
44026  25765  694.363
85340  133340  3843.529
92708  154018  4411.811
07663  3665  80.776
18930  3403  52.894
10597  7056  162.352
46060  41194  1098.352
10019  4077  80.694
19103  5324  102.892
07047  3765  77.339
19001  4883  74.944
07304  3318  72.274
07205  2694  55.62
07980  2021  32.476
08525  2201  29.797
18972  2973  42.051
10028  4945  87.353
98117  158373  4502.391
08088  6268  114.243
18018  3638  72.293
07305  3348  71.308
88121  103770  2923.79
07444  3126  69.792
33624  66234  1759.141
07856  3092  54.06
19125  5173  96.813
15927  17913  446.506
08505  4126  75.102
10708  4919  107.254
07739  4138  81.622
04072  22192  562.666
14221  22095  594.472
19460  6670  116.761
08061  6217  133.828
19090  4422  70.994
14534  18724  493.019
07203  3017  61.917
08880  1808  27.116
08690  3831  61.609
07307  3394  70.639
18088  4436  89.245
98052  157620  4491.022
18092  4276  87.763
07843  3542  54.05
08518  4504  77.991
08904  2425  35.379
07079  2697  52.411
14608  19209  507.236
08010  5233  82.298
07607  3878  83.496
07031  3804  75.427
94005  160078  4659.756
07961  2141  41.655
10014  3897  76.572
24592  28719  676.031
29926  49216  1243.214
07627  4985  95.867
19064  6216  111.994
07801  3033  65.366
